ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg)
-0.0596,0.0059,0.9868,1.77,-6.1035,-0.6104,1.8127,3.0762,-59.903
-0.0117,-0.0195,0.9858,2.0752,-7.9956,0.1831,1.8182,3.0432,-59.9084
-0.0054,-0.0254,0.9844,3.8452,-9.4604,2.1973,1.8347,2.9993,-59.903
-0.0205,-0.02,0.9951,6.0425,-11.3525,5.3711,1.8622,2.9443,-59.903
-0.0435,-0.0044,1.0059,5.5542,-13.2446,5.7983,1.8951,2.8839,-59.8755
-0.0479,0,1.0205,4.3945,-14.2212,4.9438,1.9171,2.8125,-59.848
-0.0464,-0.0024,1.0234,3.418,-14.8315,4.7607,1.9391,2.7356,-59.8315
-0.0474,-0.0127,1.0161,1.5869,-16.6626,6.2866,1.9556,2.6587,-59.826
-0.0454,-0.0317,1.002,2.6855,-17.2729,8.8501,1.9666,2.5708,-59.7876
-0.0566,-0.0352,0.9927,3.7231,-18.8599,11.4136,1.983,2.4774,-59.7437
-0.0688,-0.0264,0.9976,2.3804,-20.6909,12.8174,2.005,2.373,-59.6832
-0.0718,-0.0264,1.0029,1.3428,-21.5454,13.855,2.016,2.2687,-59.6393
-0.0708,-0.0308,0.9927,2.0142,-22.9492,15.686,2.027,2.1533,-59.5679
-0.0669,-0.0273,0.9893,2.5024,-24.5972,17.4561,2.0435,2.0325,-59.491
-0.0688,-0.0171,0.9893,1.3428,-26.6113,18.7988,2.0544,1.9006,-59.4031
-0.0708,-0.0103,0.9888,0.3662,-28.1982,19.5923,2.0599,1.7578,-59.3317
-0.064,-0.0127,0.9844,0.6714,-29.8462,20.3247,2.0709,1.6095,-59.2383
-0.0547,-0.0146,0.9854,0.3662,-31.5552,22.3999,2.0709,1.4502,-59.1339
-0.0518,-0.0103,0.9888,-0.5493,-33.2031,24.8413,2.0764,1.2854,-59.0186
-0.0581,-0.002,0.9995,-3.1128,-35.2173,26.2451,2.0709,1.1096,-58.9197
-0.0654,-0.0015,1.0039,-5.6763,-36.8652,27.0386,2.049,0.9229,-58.7933
-0.083,0.0078,1,-7.5073,-39.0625,27.0996,2.016,0.7306,-58.6615
-0.1025,0.0376,0.9917,-6.958,-41.9922,27.832,1.983,0.5219,-58.5297
-0.106,0.0474,1.0044,-7.9956,-45.5322,27.3438,1.9501,0.2966,-58.4198
-0.1045,0.0376,1.022,-10.376,-48.5229,23.0713,1.9006,0.0549,-58.3044
-0.0864,0.041,1.0229,-10.2539,-50.354,23.2544,1.8457,-0.1923,-58.2001
-0.1001,0.0679,1.0342,-10.8032,-53.772,23.6816,1.7963,-0.4559,-58.0847
-0.1201,0.0474,1.0483,-14.0381,-55.603,20.1416,1.7303,-0.7306,-58.0078
-0.127,0.0103,1.0293,-16.2964,-58.2886,16.2964,1.6534,-1.0217,-57.9309
-0.1304,0.0029,0.9971,-13.2446,-62.0728,14.0991,1.5765,-1.3239,-57.8595
-0.1353,0.0186,0.9839,-8.7891,-67.1387,14.5874,1.5216,-1.6534,-57.7991
-0.1553,0.0342,1.0107,-9.3994,-72.0215,15.2588,1.4777,-2.005,-57.7551
-0.1929,0.0522,1.0361,-13.1226,-74.8291,12.146,1.4172,-2.373,-57.6947
-0.1973,0.0708,1.0303,-14.3433,-76.4771,8.9111,1.3458,-2.7521,-57.6563
-0.1782,0.085,1.0142,-15.2588,-81.1768,10.8032,1.2689,-3.1476,-57.6178
-0.1812,0.0737,1.0205,-17.4561,-88.562,13.4888,1.1865,-3.5815,-57.5848
-0.1924,0.0239,1.0508,-22.0947,-93.9941,13.6108,1.0822,-4.0375,-57.5244
-0.2163,-0.0254,1.0796,-27.0996,-97.6563,9.0942,0.9503,-4.5209,-57.475
-0.248,-0.042,1.0796,-25.5127,-102.356,1.2207,0.8185,-5.0262,-57.4585
-0.2427,-0.0298,1.103,-20.2026,-107.9102,-5.0659,0.7086,-5.5481,-57.5024
-0.2217,-0.0317,1.1392,-12.3291,-114.8071,-11.2305,0.6372,-6.1084,-57.5519
-0.1919,-0.0513,1.2202,-6.958,-124.5117,-15.7471,0.5988,-6.7072,-57.6288
-0.1514,-0.0234,1.354,-8.728,-132.8125,-20.3857,0.5768,-7.3553,-57.7277
-0.1152,-0.002,1.4785,-12.207,-138.6108,-22.0947,0.5383,-8.0365,-57.865
-0.0811,-0.0195,1.5591,-6.2256,-144.104,-26.7334,0.5109,-8.7451,-57.9968
-0.0752,-0.0376,1.6289,2.8076,-148.0103,-35.5225,0.5328,-9.4757,-58.1616
-0.1152,0.0063,1.686,-0.8545,-150.0244,-44.8608,0.5823,-10.2173,-58.3759
-0.1665,0.0972,1.7427,-15.9912,-151.6113,-53.3447,0.5823,-10.9698,-58.6615
-0.1509,0.1011,1.7725,-24.5972,-154.8462,-56.4575,0.5328,-11.7334,-58.9526
-0.1162,0.0771,1.7603,-25.5127,-160.7056,-53.2227,0.4614,-12.5189,-59.2383
-0.085,0.1001,1.8022,-32.1045,-166.5039,-46.7529,0.379,-13.3429,-59.502
-0.0928,0.127,1.8345,-38.6963,-168.335,-42.7246,0.2527,-14.1779,-59.7491
-0.1387,0.1416,1.7222,-32.0435,-168.7622,-44.0674,0.1373,-15.0183,-59.9799
-0.1831,0.1655,1.6348,-25.7568,-171.5698,-49.1333,0.0549,-15.8698,-60.2161
-0.1733,0.1235,1.5854,-21.8506,-172.6685,-51.5747,0.0165,-16.7267,-60.4852
-0.1255,0.0835,1.5615,-27.6489,-172.4854,-48.8281,-0.022,-17.5891,-60.7654
-0.0894,0.0469,1.4976,-34.3628,-171.9971,-45.105,-0.1044,-18.4515,-61.0126
-0.0796,0.0107,1.3848,-34.79,-170.8374,-43.8843,-0.2087,-19.303,-61.2378
-0.0781,-0.0176,1.3013,-30.4565,-168.6401,-44.2505,-0.2966,-20.1544,-61.463
-0.0381,-0.1157,1.208,-12.6953,-161.6821,-46.1426,-0.3076,-20.9784,-61.7212
0.0425,-0.2007,1.1426,10.6812,-155.3345,-49.3774,-0.2142,-21.7694,-61.9739
0.1631,-0.1938,1.1392,20.0806,-150.0854,-49.0723,-0.0165,-22.5275,-62.2375
0.2778,-0.1143,1.2056,-2.9907,-142.8223,-42.2974,0.1099,-23.2526,-62.4847
0.356,-0.1606,1.1914,-25.3906,-134.3994,-33.6304,0.1044,-23.9392,-62.7045
0.3745,-0.3228,1.0913,-31.9824,-129.2114,-13.1226,0.0055,-24.5984,-62.8308
0.2861,-0.4673,0.9736,-24.4141,-122.3145,16.4185,-0.1428,-25.2191,-62.7979
0.0674,-0.3721,0.9082,-21.3013,-111.4502,36.438,-0.3241,-25.8014,-62.6276
-0.229,-0.1284,0.8896,-23.0103,-92.9565,30.0903,-0.5219,-26.3013,-62.4518
